Interval=	0.001 s
ExcelDateTime=	4.3789695451030566e+04	11/20/19 16:41:26.969041
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0.336	-15.375
0.337	-15.35938
0.338	-15.40625
0.339	-15.5
0.34	-15.5
0.341	-15.5
0.342	-15.5
0.343	-15.5
0.344	-15.48438
0.345	-15.60938
0.346	-15.59375
0.347	-15.5
0.348	-15.5625
0.349	-15.64062
0.35	-15.51562
0.351	-15.39062
0.352	-15.46875
0.353	-15.5625
0.354	-15.46875
0.355	-15.32812
0.356	-15.42188
0.357	-15.45312
0.358	-15.25
0.359	-14.9375
0.36	-14.95312
0.361	-14.89062
0.362	-14.5625
0.363	-14.20312
0.364	-14.04688
0.365	-13.89062
0.366	-13.45312
0.367	-13.03125
0.368	-12.6875
0.369	-12.40625
0.37	-11.96875
0.371	-11.53125
0.372	-11.14062
0.373	-10.84375
0.374	-10.42188
0.375	-9.8125
0.376	-9.328125
0.377	-8.859375
0.378	-8.375
0.379	-7.71875
0.38	-7.125
0.381	-6.65625
0.382	-6.0625
0.383	-5.40625
0.384	-4.703125
0.385	-4.046875
0.386	-3.34375
0.387	-2.59375
0.388	-1.84375
0.389	-1.125
0.39	-0.4375
0.391	0.203125
0.392	0.828125
0.393	1.53125
0.394	2.140625
0.395	2.734375
0.396	3.40625
0.397	4.03125
0.398	4.578125
0.399	5.109375
0.4	5.703125
0.401	6.234375
0.402	6.78125
0.403	7.359375
0.404	7.90625
0.405	8.4375
0.406	8.96875
0.407	9.53125
0.408	9.953125
0.409	10.4375
0.41	10.92188
0.411	11.15625
0.412	11.40625
0.413	11.78125
0.414	12
0.415	12.09375
0.416	12.34375
0.417	12.64062
0.418	12.6875
0.419	12.73438
0.42	12.9375
0.421	13.03125
0.422	12.96875
0.423	12.96875
0.424	13.0625
0.425	13
0.426	12.82812
0.427	12.8125
0.428	12.8125
0.429	12.59375
0.43	12.39062
0.431	12.4375
0.432	12.28125
0.433	11.96875
0.434	11.875
0.435	11.92188
0.436	11.6875
0.437	11.48438
0.438	11.51562
0.439	11.39062
0.44	11.10938
0.441	11.01562
0.442	10.96875
0.443	10.82812
0.444	10.71875
0.445	10.67188
0.446	10.67188
0.447	10.625
0.448	10.54688
0.449	10.51562
0.45	10.4375
0.451	10.32812
0.452	10.26562
0.453	10.17188
0.454	9.96875
0.455	9.796875
0.456	9.703125
0.457	9.46875
0.458	9.21875
0.459	9.140625
0.46	8.984375
0.461	8.703125
0.462	8.53125
0.463	8.5
0.464	8.296875
0.465	8
0.466	7.90625
0.467	7.78125
0.468	7.578125
0.469	7.5
0.47	7.40625
0.471	7.265625
0.472	7.25
0.473	7.140625
0.474	6.921875
0.475	6.90625
0.476	6.84375
0.477	6.640625
0.478	6.640625
0.479	6.671875
0.48	6.5
0.481	6.484375
0.482	6.609375
0.483	6.515625
0.484	6.53125
0.485	6.78125
0.486	6.75
0.487	6.734375
0.488	7.0625
0.489	7.234375
0.49	7.234375
0.491	7.5625
0.492	7.859375
0.493	7.96875
0.494	8.328125
0.495	8.703125
0.496	8.90625
0.497	9.234375
0.498	9.640625
0.499	9.828125
0.5	10.10938
0.501	10.5625
0.502	10.6875
0.503	10.90625
0.504	11.4375
0.505	11.59375
0.506	11.70312
0.507	12.1875
0.508	12.39062
0.509	12.39062
0.51	12.76562
0.511	13.01562
0.512	12.95312
0.513	13.1875
0.514	13.39062
0.515	13.1875
0.516	13.25
0.517	13.48438
0.518	13.29688
0.519	13.28125
0.52	13.54688
0.521	13.40625
0.522	13.32812
0.523	13.67188
0.524	13.57812
0.525	13.4375
0.526	13.92188
0.527	14
0.528	13.75
0.529	14.1875
0.53	14.375
0.531	13.90625
0.532	14
0.533	14.17188
0.534	13.625
0.535	13.40625
0.536	13.5625
0.537	13.04688
0.538	12.625
0.539	12.70312
0.54	12.29688
0.541	11.84375
0.542	11.90625
0.543	11.6875
0.544	11.375
0.545	11.54688
0.546	11.45312
0.547	11.15625
0.548	11.15625
0.549	10.84375
0.55	10.3125
0.551	10.34375
0.552	10.1875
0.553	9.625
0.554	9.625
0.555	9.703125
0.556	9.234375
0.557	9.140625
0.558	9.359375
0.559	9.140625
0.56	9.0625
0.561	9.3125
0.562	9.171875
0.563	9
0.564	9.25
0.565	9.09375
0.566	8.796875
0.567	8.96875
0.568	8.9375
0.569	8.546875
0.57	8.53125
0.571	8.625
0.572	8.28125
0.573	8.21875
0.574	8.328125
0.575	7.984375
0.576	7.9375
0.577	8.1875
0.578	7.953125
0.579	7.75
0.58	8
0.581	7.984375
0.582	7.703125
0.583	7.640625
0.584	7.71875
0.585	7.5625
0.586	7.203125
0.587	7
0.588	6.890625
0.589	6.53125
0.59	5.953125
0.591	5.703125
0.592	5.46875
0.593	4.890625
0.594	4.453125
0.595	4.1875
0.596	3.734375
0.597	3.203125
0.598	2.875
0.599	2.390625
0.6	1.84375
0.601	1.390625
0.602	0.796875
0.603	0.140625
0.604	-0.34375
0.605	-0.890625
0.606	-1.625
0.607	-2.140625
0.608	-2.65625
0.609	-3.328125
0.61	-3.96875
0.611	-4.5
0.612	-5.078125
0.613	-5.59375
0.614	-6.03125
0.615	-6.5625
0.616	-7.09375
0.617	-7.515625
0.618	-8.046875
0.619	-8.609375
0.62	-8.96875
0.621	-9.484375
0.622	-10.10938
0.623	-10.5625
0.624	-11.23438
0.625	-12.10938
0.626	-12.73438
0.627	-13.53125
0.628	-14.45312
0.629	-15.01562
0.63	-15.64062
0.631	-16.42188
0.632	-16.78125
0.633	-17.125
0.634	-17.67188
0.635	-17.85938
0.636	-17.96875
0.637	-18.20312
0.638	-18.17188
0.639	-18.07812
0.64	-18.15625
0.641	-17.98438
0.642	-17.73438
0.643	-17.67188
0.644	-17.59375
0.645	-17.35938
0.646	-17.20312
0.647	-17.14062
0.648	-17
0.649	-16.78125
0.65	-16.75
0.651	-16.75
0.652	-16.5625
0.653	-16.57812
0.654	-16.71875
0.655	-16.76562
0.656	-16.78125
0.657	-16.90625
0.658	-17.0625
0.659	-17.04688
0.66	-16.82812
0.661	-16.6875
0.662	-16.59375
0.663	-16.09375
0.664	-15.5625
0.665	-15.32812
0.666	-14.92188
0.667	-14.34375
0.668	-14.03125
0.669	-13.89062
0.67	-13.71875
0.671	-13.51562
0.672	-13.42188
0.673	-13.51562
0.674	-13.45312
0.675	-13.32812
0.676	-13.34375
0.677	-13.25
0.678	-13.17188
0.679	-13.09375
0.68	-12.82812
0.681	-12.75
0.682	-12.67188
0.683	-12.35938
0.684	-12.32812
0.685	-12.35938
0.686	-12.21875
0.687	-12.34375
0.688	-12.53125
0.689	-12.59375
0.69	-12.85938
0.691	-13.0625
0.692	-13.17188
0.693	-13.4375
0.694	-13.59375
0.695	-13.75
0.696	-13.96875
0.697	-14.04688
0.698	-14.21875
0.699	-14.35938
0.7	-14.40625
0.701	-14.59375
0.702	-14.64062
0.703	-14.70312
0.704	-14.90625
0.705	-14.85938
0.706	-14.96875
0.707	-15.1875
0.708	-15.0625
0.709	-15.10938
0.71	-15.26562
0.711	-15.125
0.712	-15.23438
0.713	-15.35938
0.714	-15.20312
0.715	-15.39062
0.716	-15.48438
0.717	-15.35938
0.718	-15.57812
0.719	-15.73438
0.72	-15.70312
0.721	-15.875
0.722	-16.0625
0.723	-16.15625
0.724	-16.1875
0.725	-16.32812
0.726	-16.54688
0.727	-16.5625
0.728	-16.70312
0.729	-16.9375
0.73	-16.89062
0.731	-17
0.732	-17.15625
0.733	-17.03125
0.734	-17.07812
0.735	-17.07812
0.736	-16.82812
0.737	-16.84375
0.738	-16.625
0.739	-16.28125
0.74	-16.54688
0.741	-16.65625
0.742	-16.29688
0.743	-16.17188
0.744	-15.73438
0.745	-15.23438
0.746	-15.04688
0.747	-14.59375
0.748	-14.1875
0.749	-13.70312
0.75	-13.26562
0.751	-13.28125
0.752	-12.89062
0.753	-12.23438
0.754	-12
0.755	-11.54688
0.756	-10.875
0.757	-10.15625
0.758	-9.03125
0.759	-8.046875
0.76	-7.3125
0.761	-6.296875
0.762	-5.40625
0.763	-4.484375
0.764	-3.28125
0.765	-2.265625
0.766	-0.96875
0.767	0.4375
0.768	1.515625
0.769	2.9375
0.77	4.40625
0.771	5.578125
0.772	7.109375
0.773	8.671875
0.774	10.09375
0.775	11.79688
0.776	13.46875
0.777	15.14062
0.778	16.92188
0.779	18.53125
0.78	20.3125
0.781	22.07812
0.782	23.65625
0.783	25.375
0.784	27.01562
0.785	28.54688
0.786	30.1875
0.787	31.57812
0.788	32.96875
0.789	34.45312
0.79	35.5625
0.791	36.73438
0.792	38.01562
0.793	38.92188
0.794	39.875
0.795	40.92188
0.796	41.70312
0.797	42.46875
0.798	43.26562
0.799	43.90625
0.8	44.48438
0.801	45.0625
0.802	45.59375
0.803	45.98438
0.804	46.375
0.805	46.73438
0.806	46.875
0.807	47.07812
0.808	47.32812
0.809	47.23438
0.81	47.23438
0.811	47.34375
0.812	46.96875
0.813	46.73438
0.814	46.5625
0.815	45.90625
0.816	45.51562
0.817	45.14062
0.818	44.3125
0.819	43.6875
0.82	43
0.821	41.875
0.822	40.92188
0.823	39.95312
0.824	38.5625
0.825	37.39062
0.826	36.46875
0.827	35.21875
0.828	33.98438
0.829	33.1875
0.83	32.26562
0.831	30.98438
0.832	30.14062
0.833	29.54688
0.834	28.42188
0.835	27.5
0.836	27.0625
0.837	26.25
0.838	25.42188
0.839	25.01562
0.84	24.40625
0.841	23.73438
0.842	23.17188
0.843	22.67188
0.844	22.15625
0.845	21.46875
0.846	20.96875
0.847	20.5625
0.848	19.8125
0.849	19.29688
0.85	18.95312
0.851	18.21875
0.852	17.70312
0.853	17.29688
0.854	16.5625
0.855	16.04688
0.856	15.4375
0.857	14.60938
0.858	14.10938
0.859	13.42188
0.86	12.5
0.861	11.96875
0.862	11.26562
0.863	10.26562
0.864	9.65625
0.865	8.953125
0.866	7.984375
0.867	7.34375
0.868	6.65625
0.869	5.8125
0.87	5.140625
0.871	4.4375
0.872	3.703125
0.873	2.921875
0.874	2.09375
0.875	1.46875
0.876	0.71875
0.877	-0.09375
0.878	-0.640625
0.879	-1.375
0.88	-2.09375
0.881	-2.6875
0.882	-3.421875
0.883	-4.09375
0.884	-4.671875
0.885	-5.296875
0.886	-5.84375
0.887	-6.328125
0.888	-6.875
0.889	-7.390625
0.89	-7.859375
0.891	-8.328125
0.892	-8.828125
0.893	-9.171875
0.894	-9.46875
0.895	-9.875
0.896	-10.17188
0.897	-10.35938
0.898	-10.64062
0.899	-10.90625
0.9	-11.10938
0.901	-11.28125
0.902	-11.46875
0.903	-11.64062
