country,per_capita,life_expec,population
USA,65111,78.9,330000000
Australia,53825,82.8,26000000
UK,41030,81.1,68000000
China,10098,82,1394000000
India,2171,68.6,1326000000
Mexico,10118,74.9,129000000
Canada,46212,75.9,38000000
