Country, Population 
China,1420062022
India,1368737513
USA,329093110
Indonesia,269536482
Brazil,212392717
Pakistan,204596442
Nigeria,200962417
Bangladesh,168065920
Russia,143895551
Mexico,132328035
Japan,126854745
